Date,Link,Message
2021-06-16 03:28:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810652804911312896,"And you wouldn’t even thank your husband for the grace he brought 🙂. It’s a thankless Job, yeah! 
Congrats on your promotion and marriage."
2021-06-16 02:36:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810486257374785536,Thank you for your comment Lekan. I only intended to give high level summary of the numbers. Infection rate (Infection by population) and death rate (death per case) are captured in the visuals and they form part of my highlight. I will reach out to you privately.
2021-06-15 22:46:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810675303355072512,Congrats Heather!
2021-06-04 17:37:25,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6806606046916947968,Good luck with your new gig
2021-06-02 19:02:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6784555295084437504,Jessica Uwoghiren thanks for sharing
2021-05-29 06:34:00,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6804115702715359232,Sunday Obeifoh well done Sunday
2021-05-21 15:12:58,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6801467531656880128,"This will only work in two instances.
1) If most of your staff or the set of staff you are targeting are semi-skilled or Junior, such that food will be enough reason for them to abandon other responsiblities that makes them come late. 

2) If you have proven that your staff are actually people who places high premium on meals. 

For me, considering that the company is in Lagos,  I would recommend providing a staff bus."
2021-05-18 04:25:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6800166643382263808,Sublime achievement! Congrats

2021-05-12 00:31:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6797976207544659968,"Congrats Boss, More wins"
2021-04-12 19:18:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6787426657453006849,Go Prisca!
2021-04-07 17:20:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6785520769452576769,Go Girl!

2021-04-05 21:22:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784847519823253505,You are too fond of free things. Lol
I'm jumping on this one tho
2021-03-31 21:25:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783109377923547136,Congrats Michael

2021-03-31 19:14:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782624839950753792,Very familiar!!! right? 
2021-03-31 14:16:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783004382028988416,Congrats

2021-03-25 07:55:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6780743592135704576,"An inspirational speech, every statement told the story of victory over limitations. Inspiring today as it was when I first saw it years ago."
2021-03-23 21:35:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780193867103911936,Congrats Genevieve
2021-03-22 00:45:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779501830528352257,Congratulations!
2021-03-12 10:09:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6774654600122257409,This Utiva team looks like something I want to be part of.
2021-03-12 09:46:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6775822149736243200,"Thank you for your interest in our company, We regret to inform you that ........"
2021-02-22 21:46:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6769542708961820673,Heart warming. So thoughtful of him.
2021-02-22 19:04:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6769487528346038272,I thought the cliche is “Hire for attitude and TRAIN for SKILL”?
2021-02-17 20:35:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6767863154404864001,The most amazing thing about Douye is how she has managed to cover those deep scars wonderfully well. You neither see them nor feel them it from interacting with her.  👏👏👏
2021-02-01 21:58:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762009913188343808,Congrats on your Senior Role.

2020-12-28 22:41:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6746733132847845377,Well done Rob
2020-12-26 20:20:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6745360380643549184,Congrats
2020-12-26 20:19:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6747821395251621888,"Yes, we would definitely add acting to your competency profile"
