Organization,Followed On
DataTale,Wed Jun 16 06:56:05 UTC 2021
FJR Group,Sat Jun 05 04:58:10 UTC 2021
Quantum Analytics NG,Mon May 31 18:55:37 UTC 2021
Hilton Lord Associates,Thu May 27 16:57:10 UTC 2021
JAM Recruitment,Thu May 27 16:56:58 UTC 2021
Eligo Recruitment,Thu May 27 16:56:50 UTC 2021
Practicus,Thu May 27 16:56:27 UTC 2021
Rullion,Thu May 27 16:55:07 UTC 2021
MBL Seminars Ltd,Thu May 27 16:54:41 UTC 2021
Strictly Recruitment,Thu May 27 16:50:29 UTC 2021
Impact Creative Recruitment Ltd,Thu May 27 16:35:57 UTC 2021
Supermums,Thu May 27 13:30:11 UTC 2021
PubMatic,Thu May 27 06:00:22 UTC 2021
Manpower UK,Thu May 27 05:44:23 UTC 2021
Wifinity,Wed May 26 19:37:07 UTC 2021
Harrison Holgate,Tue May 25 05:30:30 UTC 2021
Nicoll Curtin,Sun May 23 07:35:27 UTC 2021
Noir,Sun May 23 06:47:57 UTC 2021
DS Group,Sun May 23 06:42:42 UTC 2021
DURLSTON PARTNERS,Sun May 23 06:40:41 UTC 2021
Albert Bow,Sun May 23 06:12:46 UTC 2021
everis,Sun May 23 06:11:46 UTC 2021
Recruiter Partnerships,Sat May 22 23:56:13 UTC 2021
Recruiter Plus,Sat May 22 23:56:11 UTC 2021
UK Recruiter,Sat May 22 23:56:07 UTC 2021
Doctorlink,Thu May 20 15:49:58 UTC 2021
InterQuest Group,Wed May 19 21:14:35 UTC 2021
Schoen Clinic,Wed May 19 21:14:17 UTC 2021
Tanton HR Recruitment Limited,Wed May 19 21:12:34 UTC 2021
Aldrich & Co,Wed May 19 21:11:52 UTC 2021
Clear Futures Recruitment,Wed May 19 21:11:26 UTC 2021
YO! Sushi,Wed May 19 21:11:06 UTC 2021
HealthHero,Wed May 19 21:09:09 UTC 2021
E3G,Wed May 19 21:08:08 UTC 2021
Guild Esports,Wed May 19 20:58:31 UTC 2021
The Wells Tobias Group,Wed May 19 20:46:00 UTC 2021
Petra Stella ,Wed May 19 20:45:13 UTC 2021
Moss Bros. Group Ltd,Wed May 19 20:37:51 UTC 2021
AMFG,Wed May 19 20:36:53 UTC 2021
Ad Idem Consulting,Wed May 19 20:36:11 UTC 2021
Alexander Lloyd,Wed May 19 20:35:37 UTC 2021
James Andrews Recruitment Solutions Ltd,Wed May 19 20:35:08 UTC 2021
JOSEPH,Wed May 19 20:34:46 UTC 2021
Frazer Jones,Wed May 19 20:34:14 UTC 2021
Ten Health & Fitness,Wed May 19 20:33:59 UTC 2021
Noventure,Wed May 19 17:38:02 UTC 2021
i-Pharm Consulting,Fri May 14 21:30:46 UTC 2021
Lyle & Scott,Fri May 14 21:30:36 UTC 2021
Home Instead Hammersmith & Chiswick,Fri May 14 21:04:32 UTC 2021
Lenstore,Fri May 14 21:02:37 UTC 2021
ClearScore,Fri May 14 21:01:07 UTC 2021
SmartRecruiters,Fri May 14 20:59:54 UTC 2021
ISE Partners,Fri May 14 20:58:36 UTC 2021
Pro-Recruitment Group,Fri May 14 20:56:47 UTC 2021
ADAPTOVATE,Fri May 14 20:55:40 UTC 2021
G-Research,Fri May 14 20:53:08 UTC 2021
Product Madness 🏳️‍🌈,Fri May 14 20:52:43 UTC 2021
C&C Search | 02034753885 | hello@candcsearch.co.uk,Fri May 14 20:51:19 UTC 2021
Microsoft,Wed May 12 00:51:32 UTC 2021
"Mumba Technologies, Inc.",Fri Apr 30 08:35:15 UTC 2021
"The Hiring Group, LLC.",Fri Apr 30 08:35:13 UTC 2021
Machine Learning Mastery,Wed Mar 31 21:25:15 UTC 2021
Aureum Re,Sun Mar 07 05:19:35 UTC 2021
BDO Cayman Islands,Sat Feb 27 04:40:27 UTC 2021
Data Science Dojo,Fri Feb 19 05:29:33 UTC 2021
Creative Tech Ltd,Wed Feb 03 14:40:08 UTC 2021
Expertise Group,Mon Feb 01 22:04:35 UTC 2021
Progressive Distributors Ltd.,Mon Feb 01 14:15:08 UTC 2021
Palm Heights Hotel ,Mon Jan 18 14:39:08 UTC 2021
IT Outsource Ltd,Sun Jan 10 03:06:26 UTC 2021
Deloitte,Fri Feb 05 12:51:19 UTC 2021
Eco House Cayman,Mon Dec 07 17:31:27 UTC 2020
CS Recruitment,Tue Nov 17 22:02:27 UTC 2020
CS Recruiting,Sun Nov 15 20:41:28 UTC 2020
Cayman Islands Society for Human Resources Professionals ('CISHRP'​),Wed Oct 28 02:49:28 UTC 2020
IQ-EQ,Tue Oct 20 15:59:01 UTC 2020
Nesco Resource,Wed Jul 22 11:00:44 UTC 2020
DAI,Wed Jun 10 20:59:51 UTC 2020
Retail Nigeria,Wed Jun 03 10:20:46 UTC 2020
Toastmasters International,Sun Apr 26 20:48:38 UTC 2020
Josh Bersin Academy,Thu Mar 19 08:14:45 UTC 2020
Open Society Foundations,Fri Feb 14 00:20:26 UTC 2020
AI Exponential Thinker,Thu Feb 13 17:40:24 UTC 2020
Venture Garden Group,Mon Feb 10 07:33:46 UTC 2020
IBM,Sat Feb 01 23:00:20 UTC 2020
Archer - The IT Recruitment Consultancy,Fri Jan 24 12:22:08 UTC 2020
Utiva,Sat Jan 11 23:31:13 UTC 2020
KPMG in the Cayman Islands,Thu Dec 05 23:30:46 UTC 2019
Cayman Group,Thu Dec 05 23:30:41 UTC 2019
Deloitte Cayman Islands,Thu Dec 05 23:30:39 UTC 2019
Dart,Thu Dec 05 23:30:38 UTC 2019
Squires Resources Inc,Thu Dec 05 23:30:33 UTC 2019
Nova Recruitment Services Limited,Thu Dec 05 23:30:30 UTC 2019
The Agency Cayman,Thu Dec 05 23:30:28 UTC 2019
Maples Group,Thu Dec 05 23:30:15 UTC 2019
SteppingStones Recruitment,Thu Dec 05 23:30:14 UTC 2019
CML Recruitment,Thu Dec 05 23:30:12 UTC 2019
Nova Recruitment,Thu Dec 05 23:29:55 UTC 2019
Affinity Recruitment Ltd.,Tue Dec 03 09:24:46 UTC 2019
Four Points by Sheraton Lagos,Tue Nov 26 10:55:38 UTC 2019
Personnel 2000,Mon Nov 18 08:56:17 UTC 2019
Network HR,Mon Nov 18 08:53:16 UTC 2019
Butterfield Group,Mon Nov 18 08:18:27 UTC 2019
Baraud,Thu Nov 14 07:57:39 UTC 2019
Hamilton Recruitment (Caribbean & Asia-Pacific),Wed Nov 13 14:52:10 UTC 2019
Deloitte Canada,Sun Sep 29 14:42:02 UTC 2019
One Acre Fund,Fri May 31 07:38:30 UTC 2019
Health Strategy and Delivery Foundation,Tue May 07 08:22:30 UTC 2019
"UNHCR, the UN Refugee Agency",Tue May 07 08:16:00 UTC 2019
Tenaris,Tue Feb 05 20:28:18 UTC 2019
Interswitch Group,Thu Jan 31 19:25:00 UTC 2019
Heirs Holdings,Fri Jan 11 14:24:58 UTC 2019
MBU Capital,Wed Jan 09 16:43:52 UTC 2019
Actis,Wed Aug 29 17:57:16 UTC 2018
Anheuser-Busch InBev,Mon Aug 13 09:27:04 UTC 2018
Transsion,Fri May 25 16:34:01 UTC 2018
<<Confidential client>>,Mon Apr 23 20:37:41 UTC 2018
Visionscape,Wed Nov 08 21:31:46 UTC 2017
CloudPay,Sun Sep 03 14:01:55 UTC 2017
Rosetti Marino Group of Companies,Fri Aug 11 18:24:07 UTC 2017
Marriott International,Tue Jun 06 15:30:08 UTC 2017
Foresight Nigeria,Tue May 02 13:57:22 UTC 2017
Reccounting Limited,Mon Apr 24 06:21:21 UTC 2017
Diageo,Fri Apr 14 15:31:02 UTC 2017
PanAfrican Capital Plc,Mon Jan 23 13:56:46 UTC 2017
Olabisi Onabanjo University,Wed Dec 07 05:00:31 UTC 2016
University of Lagos,Tue Feb 07 14:47:00 UTC 2017
McKinsey & Company,Wed Sep 28 16:00:10 UTC 2016
Avantgarde Management Services,Wed Sep 21 11:46:39 UTC 2016
Eroton Exploration and Production Company Limited,Tue Jul 19 17:34:45 UTC 2016
Alexander Nelson HR.,Wed May 18 12:38:31 UTC 2016
Ikeja Electric,Mon Apr 11 22:25:06 UTC 2016
The Shoprite Group of Companies,Fri Apr 08 08:11:48 UTC 2016
WNT Capitas Consulting,Tue Apr 05 13:53:51 UTC 2016
ipNX Nigeria Limited,Mon Feb 15 18:52:09 UTC 2016
Union Bank of Nigeria,Sun Feb 14 00:42:14 UTC 2016
IROKO Partners Limited,Fri Feb 05 16:37:58 UTC 2016
Mineral,Thu Jan 28 17:33:03 UTC 2016
NES Fircroft,Wed Jan 13 16:31:48 UTC 2016
"Lagos Business School, Pan-Atlantic University",Wed Nov 25 15:07:13 UTC 2015
Entranic LLC,Wed Nov 25 13:51:56 UTC 2015
Deloitte Nigeria,Wed Nov 25 13:51:48 UTC 2015
PwC,Wed Nov 25 13:51:46 UTC 2015
Seven Energy International,Wed Nov 25 13:51:45 UTC 2015
Workforce Group,Thu Nov 12 17:01:01 UTC 2015
AIESEC,Fri Oct 30 07:38:59 UTC 2015
The Place Nigeria,Tue Oct 27 08:49:25 UTC 2015
Google,Tue Sep 15 12:11:09 UTC 2015
Kimberly-Clark,Tue Sep 01 14:55:37 UTC 2015
BAT,Sat Aug 29 13:22:26 UTC 2015
Grammarly,Thu Aug 13 15:33:33 UTC 2015
Unilever,Thu Aug 06 22:31:05 UTC 2015
Gionee,Tue Jun 23 09:30:55 UTC 2015
Hayat Kimya,Thu Jun 18 13:00:15 UTC 2015
Procter & Gamble,Tue May 26 10:41:42 UTC 2015
Airtel Nigeria,Thu May 07 12:33:11 UTC 2015
Huawei,Thu Feb 12 17:37:35 UTC 2015
Harvard Business Review,Wed Dec 10 14:06:35 UTC 2014
Sahara Group,Tue Dec 02 15:09:30 UTC 2014
Romanspage Global,Wed Nov 26 10:59:03 UTC 2014
LafargeHolcim,Tue Nov 11 14:03:43 UTC 2014
HRCI,Tue Nov 11 11:25:01 UTC 2014
Fosad Consulting,Wed Oct 29 14:45:27 UTC 2014
Alcatel-Lucent,Fri Sep 19 12:48:31 UTC 2014
Stanbic IBTC,Wed Aug 06 15:18:27 UTC 2014
Kimberly Ryan Limited,Tue Jul 22 23:49:37 UTC 2014
Human Edge Limited,Tue Jul 22 23:49:23 UTC 2014
StreSERT Services Limited | Expatriate Management | HR Consulting | Recruitment & Placement | ,Tue Jul 22 23:49:11 UTC 2014
MacTay Consulting,Tue Jul 15 19:16:30 UTC 2014
Human Resources IQ,Thu Feb 06 23:37:44 UTC 2014
Professionals In Human Resources Association | PIHRA,Thu Feb 06 23:37:38 UTC 2014
HR ONLY,Thu Feb 06 22:34:16 UTC 2014
SHRM,Thu Feb 06 22:33:55 UTC 2014
Canada's Top 100 Employers,Thu Feb 06 22:33:41 UTC 2014
Northeast HR Association,Thu Feb 06 22:33:23 UTC 2014
Chevron Oil Nigeria Plc,Thu Feb 06 19:24:48 UTC 2014
Workforce Management Centre Ltd,Thu Feb 06 19:23:27 UTC 2014
CIPD,Thu Feb 06 19:22:43 UTC 2014
Chartered Institute of Personnel Management of Nigeria CIPM (Official LinkedIn Account),Thu Feb 06 19:21:31 UTC 2014
