Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2021-06-16 15:00:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6810944047256014848,,,,MEMBER_NETWORK
2021-06-15 08:40:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6810486256754036736,"So I did an exploratory analysis on Covid-19 Dataset from when the virus broke out to early June 2021 using SQL & Power BI.""
""""
""Clearly Covid was kind to Africa, at least compared to the rest of the world.""
""""
""Only 0.04% of her population were infected, the fewest across continents except Oceania – (a continent I have heard nothing about before this study) and with just over than 130,000 deaths, a little less than the total death recorded in the UK alone. Great statistics for Africa, considering that many of her Nations have below par health care facilities and poor crisis management abilities.""
""""
""Asia has the most number of infected people with the majority of these numbers contributed by India – (the only Asian Country in top 10 Death count), and China. Interestingly, despite the high infection cases, they have one of the best recovery rates, recording significantly fewer deaths than others""
""""
""On the top of the infection ratio rung is South America 6.8%, a little more than their neighbors in the North with 6.6% and 0.2% more than Europe, which at the early stage of the virus, happen to be the epic Centre of the world with over 1 million deaths.""
""""
""My SQL code and raw data can be accessed via my github account:""
""""
""https://lnkd.in/d-Tza-r""
""""
""#Mysql #dataanalytics #powerbi ",,,MEMBER_NETWORK
2021-06-15 02:51:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6810398388631179264,,,,MEMBER_NETWORK
2021-06-14 05:29:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6810075712364539904,,,,MEMBER_NETWORK
2021-06-12 22:05:27,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6809601558066552832,,,,MEMBER_NETWORK
2021-06-10 06:15:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6808637674585378816,Stark overflow to the rescue always,,,MEMBER_NETWORK
2021-05-31 19:21:44,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6805211700208402433,,,,MEMBER_NETWORK
2021-05-27 13:00:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6803666307423199232,Interesting times,,,MEMBER_NETWORK
2021-02-22 22:16:10,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6769741588169015296,,,,MEMBER_NETWORK
2021-02-16 18:35:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6767511610778120192,"As a human Resources Professional, you can hardly go wrong working for a company that ""Puts People First"" in words and indeed. Arne was a symbol of the people first corporate culture Marriott epitomizes. He is a man that was never afraid to share his vulnerabilities and personal life stories to inspire us. Thank you for all the lives that you gave purpose to one way or the other. ""
""Rest in power Arne.""
""",,,MEMBER_NETWORK
2020-12-14 06:35:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6744137720068628480,,,,MEMBER_NETWORK
2020-11-20 19:32:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6735635865810305024,,,,MEMBER_NETWORK
2020-09-19 13:59:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6713083972122898432,"This is more than learning Technology skills. Utiva is using their platform to lend a voice and set the pace for an equitable society. What a massive and laudable initiative. I hope many more organizations tow this path.""
""",,,MEMBER_NETWORK
2020-09-09 13:56:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6709459447875416064,,,,MEMBER_NETWORK
2020-08-20 14:46:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6702224296737034240,"Chika Amobi,  ACIPM #Kudos I really appreciate you #GoingAboveAndBeyond ",,,MEMBER_NETWORK
2020-07-24 10:49:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6692380051184349184,"I know we are first human before professionals and we all have personal stories and content to share.""
""""
""But don’t make it difficult for your connections to tell the difference between their Facebook page and their Linkedin timeline. ""
""""
""Keep Linkedin Sane",,,MEMBER_NETWORK
2020-07-23 02:21:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6691890005612236800,,https://dai-global-developments.com/articles/how-knowledge-management-helps-make-remote-work-work?utm_source=daidotcom,https://dai-global-developments.com/uploads/Image%203.png,MEMBER_NETWORK
2020-07-23 02:21:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6691890005612236800,,https://dai-global-developments.com/articles/how-knowledge-management-helps-make-remote-work-work?utm_source=daidotcom,https://dai-global-developments.com/uploads/Image%204-0c309b.png,MEMBER_NETWORK
2020-07-23 02:21:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6691890005612236800,,https://dai-global-developments.com/articles/how-knowledge-management-helps-make-remote-work-work?utm_source=daidotcom,https://dai-global-developments.com/uploads/Image%202-c441db.png,MEMBER_NETWORK
2020-07-21 00:32:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6691137788265422848,How do one manage the paradox of learning to be a great leader and learning to be yourself. What an interesting read.,,,MEMBER_NETWORK
2020-07-09 15:32:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6687015666274316288,"""The problem with using the word 'culture' is that we never got into real issues.""",,,MEMBER_NETWORK
2020-06-30 02:41:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6683560078672572416,,,,MEMBER_NETWORK
2020-06-30 02:31:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6683557634504847360,,,,MEMBER_NETWORK
2020-06-28 17:14:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6683054935011024896,,,,MEMBER_NETWORK
2020-06-23 15:26:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6681215733965430784,,,,MEMBER_NETWORK
2020-06-18 10:03:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6679322664357687296,"My inroad into Data Analytics.""
""#PositivesofLockdown""
""#DataAnalytics #ExcelDashBoards""
""#HRAnalytics""
""",,,MEMBER_NETWORK
2020-06-05 14:46:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6674682888321024000,"When you want to take tough decisions, let it be based on principles, but first of all have the right principles.",,,MEMBER_NETWORK
2020-06-04 23:18:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6674449223439659008,A great read,,,MEMBER_NETWORK
2020-05-22 12:25:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6669573818631131136,,,,MEMBER_NETWORK
2020-05-21 13:40:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6669230278998806528,"We all love and want to be a Martin Luther King right?, but how many are ready to make the politically incorrect decisions and sacrifices he made....""
""""
""A popular cliche goes by “Don’t burn Bridges”. ""
""""
""An employer deducts your money for 3 years but refused to remit your pension, upon resignation, just forget the money, don’t take legal action, because, don’t burn bridges.""
""""
""A boss physically or verbally assaults you, when leaving, just move one, don’t call them out because you need to leave the bridge intact.""
""""
""A company you worked for dehumanizes and frustrates the hell out of you till you resign, just move on, don’t give a piece of your mind, don’t say nothing, because bridges are better left unburnt.""
""""
""Its high time we begin to gauge this kind of popular cliché with our moral compass.""
""""
""Unethical and terrible people practices has remained because we have indirectly reinforced them, because victims would silently take a walk rather than lend a voice against it.""
""""
""Have we been blackmailed into believing we ought to keep all kind of bridges, including those that leads to no or wrong destinations?""
""""
""""The hottest place in Hell is reserved for those who remain neutral in times of great moral conflict."" - The thoughts of Martin Luther King, not mine. but, i quite agree.",,,MEMBER_NETWORK
2020-05-11 16:18:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6665646134360330240,"I saw this on a friends WhatsApp’s status, I think the #futureofwork is often misconstrued.""
""""
""I learnt from a seminar by Josh Bersin that in the early 80s when ATM Machines were introduced, every analyst were waxing lyrical about how Physical Banks are on their way to extinction and how Banks will be almost fully manned by Machines. ""
""""
""What we have today is over 33% increase in the numbers of new Bank branches world over with more Bankers than we have ever seen.""
""""
""The only thing that has changed is that Machines are now helping Bankers handle some tasks so that they have enough time to focus on critical and important ones.""
""""
""What do you think?""
""""
""#futureofwork #joshbersin #worldofwork",,,MEMBER_NETWORK
2020-04-11 23:44:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6654886748516040705,Just finished the course “Statistics Foundations: 1”! #statistics,https://lnkd.in/dQKSzgA,,MEMBER_NETWORK
2020-04-11 17:23:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6654791021467062273,Check this out on LinkedIn Learning! I have made it free for you with the link below. #talentmanagement #interviewing #humanresourceshr,https://lnkd.in/dex5Wma,,MEMBER_NETWORK
2020-04-11 15:08:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6654757025483894784,Just finished the course “Recruiting Foundations”!,https://lnkd.in/dxAZqNs,,MEMBER_NETWORK
2020-04-11 14:52:45,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6654753045764681728,Just finished the course “The Essential Elements of Predictive Analytics and Data Mining”! #predictiveanalytics #datamining #datamodeling,https://lnkd.in/d3HMSMS,,MEMBER_NETWORK
2020-04-11 03:26:14,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6654580280050884608,Just finished the course “Strategic Human Resources”! #smallbusinessmanagement #humanresourceshr #strategichumanresourceplanning,https://lnkd.in/dbvtvKq,,MEMBER_NETWORK
2020-04-11 02:00:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6654558621508087808,Just finished the course “Organization Design”! #strategicplanning #organizationaldesign,https://lnkd.in/dehndfM,,MEMBER_NETWORK
2020-04-11 01:59:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6654558392637501440,Just finished the course “Learning Data Analytics”! #dataanalytics,https://lnkd.in/dHCjg8d,,MEMBER_NETWORK
2020-04-10 13:27:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6654369213253197825,"Like I said, Corona Virus could have as much impact on the world of work as digital revolution.",https://www.mckinsey.com/about-us/new-at-mckinsey-blog/kevin-sneader-we-re-not-going-back-to-the-normal-we-had-before-coronavirus?cid=other-pso-fce-mip-mck-oth-2003-i1a&sid=5e7e18d0e22c944e5a491262&linkId=85228276,https://www.mckinsey.com/~/media/McKinsey/About%20Us/McKinsey%20Blog/Kevin%20Sneader%20We%20re%20not%20going%20back%20to%20the%20normal%20we%20had%20before%20coronavirus/ks-interview-cnbc-1536x864.ashx?mw=1536&car=16:9&cpx=Center&cpy=Center,MEMBER_NETWORK
2020-04-10 13:27:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6654369213253197825,"Like I said, Corona Virus could have as much impact on the world of work as digital revolution.",https://www.mckinsey.com/about-us/new-at-mckinsey-blog/kevin-sneader-we-re-not-going-back-to-the-normal-we-had-before-coronavirus?cid=other-pso-fce-mip-mck-oth-2003-i1a&sid=5e7e18d0e22c944e5a491262&linkId=85228276,https://www.mckinsey.com/~/media/McKinsey/About%20Us/McKinsey%20Blog/Kevin%20Sneader%20We%20re%20not%20going%20back%20to%20the%20normal%20we%20had%20before%20coronavirus/ks-interview-cnbc-1536x864.ashx,MEMBER_NETWORK
2020-04-01 10:26:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6651062081980248064,"For many years, being a technology driven company has been the toast of every business entity, they pride on the sellable phrase of adopting technological disruption and digital revolution to simplify business operations and optimize goals. ""
""""
""It is not much of a surprise that it has to be another occurrence (not technology) that has made us realize how far we are from harnessing the potentials of the technology we wax so lyrical about. ""
""""
""In my opinion, I can arguably say that a global pandemic endeared the corporate world to some possibilities of technology almost more than technology itself. What’s more? this could have as much impact on the world of work in the same magnitude as the forth industrial revolution in months and years to come.""
""""
""Frankly speaking, the hesitation is understood, the human brain is naturally wired to resist a deviation from the usual. So, it would have been presumptuous to expect an immediate adoption of an alien idea such as a remote work arrangement. ""
""""
""Regardless, the dynamic world we operate ought to have flexed our mind to at the very least be very prepared for change even if we can’t lead it.""
""""
""Change is upon us, a few were already ahead of the curve, some have aligned quickly, a couple will survive, many might not.""
""""
""#futureofwork #digitalrevolution ",,,MEMBER_NETWORK
2020-03-27 09:51:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6649241494832066560,,,,MEMBER_NETWORK
2020-03-18 08:45:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6645963376935661568,Transformational HR is a mirage without inspirational leadership. - Yemi Faseun,,,MEMBER_NETWORK
2020-03-18 08:34:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6645960528286007296,,,,MEMBER_NETWORK
2020-03-17 16:50:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6645723053793820672,I will scream this.,,,MEMBER_NETWORK
2020-03-04 10:58:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6640923326833283072,,https://www.youracclaim.com/badges/276e86a5-2858-4980-9562-c9bfad892297/linked_in,,MEMBER_NETWORK
2020-02-28 10:18:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6639101383503036416,View my verified achievement from HR Certification Institute on Acclaim.,https://www.youracclaim.com/badges/cb18ada7-31cc-424d-a224-496fa16fef1a/linked_in,,MEMBER_NETWORK
2020-02-19 14:42:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6635906317489844224,"When learning #artificialintelligence #robotics #machinelearning,  and the likes in preparation for the #futureofwork. Remember to learn #communication and #empathy with them, else you have no place in that future.""
""""
""",,,MEMBER_NETWORK
2020-01-29 10:32:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6628233232682885121,,,,MEMBER_NETWORK
2019-12-29 12:12:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6617024397460951040,"This is a master stroke from 'Lara Yeku. ""
""""
""You have done something that will outlive you and most importantly impact our profession for years to come. ""
""""
""Keep blazing the trail.",,,MEMBER_NETWORK
2019-12-19 11:47:50,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6613394291903479808,Marc Wozniak #Kudos Thank you for setting a great example #InspirationalLeader ,,,MEMBER_NETWORK
2019-10-06 07:08:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6586507400805662720,,,,MEMBER_NETWORK
2019-09-11 11:55:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6577519868801753088,"Move Millennials Up or they Move On""
""As an employer, having the right talent is even no longer a competitive advantage, but a competitive necessity. And the composition of this talent is gradually shifting. ""
""""
""In 2016, millennials became the largest generation in the labor market.  By 2020, it’s estimated that they will comprise 50% of the global workforce. ""
""""
""As organizations are becoming increasingly reliant on them, understanding their motivations is essential, it is wrong to believe the stereotype that they are lazy, and entitled.  Far from it!""
""""
""Their expectations of themselves are only high, and they are eager for accelerated career growth. Moving up in their career is a priority for them and it must be yours too as their employer –  if you are to prevent them from moving on.""
""""
""#careergrowth #millennials #globalworkforce #career #careeradvancement ""
""",,,MEMBER_NETWORK
2019-08-09 12:37:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6565571574450139136,"People are not your most important asset, the RIGHT people are - Jim Collins""
""#rightpeople #warfortalent #talentmanagement ",,,MEMBER_NETWORK
2019-08-08 10:43:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6565180469556596736,"Having a good leader is not tantamount to having strong leadership in an organization. Great companies understand the need to create a culture that defines acceptable leadership behaviors and encourages everyone to take responsibility for not only themselves, but for others. ""
""The whole is always greater than the part - a good leader will only be as valuable as the system permits, that’s why organization does not need strong leaders as much as they need a strong leadership culture.""
""""
""#leadership""
""#leadershipchallenge ""
""#Leadershipculture""
""#Culture",,,MEMBER_NETWORK
2019-07-30 11:18:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6561927930480517120,"Poverty and economic disengagement is a major factor in illegal migration and human trafficking. Edo, a state in the Nigerian Niger Delta, accounts for the highest proportion of known trafficked persons in Africa. Through DFID’s Market Development Programme in the Niger Delta (MADE), DAI has facilitated access to aspirational economic opportunities for vulnerable young men and women enabling them engage in productive work at home. ""
""#EndHumanTrafficking #DAINigeria",,,MEMBER_NETWORK
2019-07-30 11:18:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6561927930480517120,"Poverty and economic disengagement is a major factor in illegal migration and human trafficking. Edo, a state in the Nigerian Niger Delta, accounts for the highest proportion of known trafficked persons in Africa. Through DFID’s Market Development Programme in the Niger Delta (MADE), DAI has facilitated access to aspirational economic opportunities for vulnerable young men and women enabling them engage in productive work at home. ""
""#EndHumanTrafficking #DAINigeria",,,MEMBER_NETWORK
2019-07-30 11:18:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6561927930480517120,"Poverty and economic disengagement is a major factor in illegal migration and human trafficking. Edo, a state in the Nigerian Niger Delta, accounts for the highest proportion of known trafficked persons in Africa. Through DFID’s Market Development Programme in the Niger Delta (MADE), DAI has facilitated access to aspirational economic opportunities for vulnerable young men and women enabling them engage in productive work at home. ""
""#EndHumanTrafficking #DAINigeria",,,MEMBER_NETWORK
2019-07-30 11:18:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6561927930480517120,"Poverty and economic disengagement is a major factor in illegal migration and human trafficking. Edo, a state in the Nigerian Niger Delta, accounts for the highest proportion of known trafficked persons in Africa. Through DFID’s Market Development Programme in the Niger Delta (MADE), DAI has facilitated access to aspirational economic opportunities for vulnerable young men and women enabling them engage in productive work at home. ""
""#EndHumanTrafficking #DAINigeria",,,MEMBER_NETWORK
2019-05-14 13:18:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6534054105856393216,"When we compromise our values for our livelihood, we soon realize that we would lose both.""
""""
""#ourvalues ",,,MEMBER_NETWORK
2019-05-13 14:11:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6533705221326020608,"Improving employee experience should be the ultimate goal of any reward and recognition strategy; motivation and retention should be offshoots of the aforementioned.""
""""
""When building an exciting employee experience is the fulcrum of your reward system, your organization will get committed employee as long as they remain and extremely loyal ambassadors when they leave. ""
"" ""
""""
""#employeeexperience #retention #reward #motivation ",,,MEMBER_NETWORK
2019-04-16 12:29:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6523894876407369728,"""
""I saw your birthday wishes and kind words coming in droves, which I might not be able to respond personally to all – at least for now. I appreciate everyone for the prayers and more importantly the time you spared to drop me a line.""
""""
""God Bless.""
""""
""Femi""
""",,,MEMBER_NETWORK
2019-03-29 10:59:52,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6517349436383862784,,,,MEMBER_NETWORK
2019-03-29 08:00:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6517304338149314560,David Leman #Kudos Thank you for always bringing your best self to work #InspirationalLeader ,,,MEMBER_NETWORK
2019-03-08 11:31:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6509747309675364352,"No Society who subject and undermine half of itself will ever really optimize its potentials. This years' IWD theme resonates well with the idea behind this day.""
""""
""#BetterforBalance#InternationalWomenDay2019",,,MEMBER_NETWORK
2019-03-01 19:54:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6507337014524805120,"https://lnkd.in/dbC75ts""
""",,,MEMBER_NETWORK
2019-02-21 11:52:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6504316831195500544,,,,MEMBER_NETWORK
2019-02-19 11:03:58,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6503579729977700352,,,,MEMBER_NETWORK
2019-02-17 11:25:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6502860310171385857,,,,MEMBER_NETWORK
2019-01-24 21:59:59,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6494322738025492480,,,,MEMBER_NETWORK
2019-01-24 11:57:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6494171019924774913,"Smart businesses has no status quo.""
""""
""",,,MEMBER_NETWORK
2019-01-24 11:54:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6494170350681620481,,,,MEMBER_NETWORK
2019-01-08 23:14:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6488543341418938368,A simple and creative way of helping make meaning out of data.,,,MEMBER_NETWORK
2018-11-18 19:59:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6470012334789136384,"Failure is victory in embryo; very few realize, so many will rather abort than nurture it.""
""""
""One of the numerous things failure does for us is the luxury of a free test of our mettle  to achieve and more importantly maintain success. ""
""""
""I have come to learn that there is an instant “opportunity” for victory in every failure or setback we experience.""
""""
""I know how fatal a defeat could be, I have had experiences on how you try to convince your brain that nothing serious had happened but yet struggle to literally take your hands off your face.""
""""
""Lifting your head can be pretty difficult let alone strengthen your mind to dare to dream again, on some occasions you might find to no avail the motivation to justify your essence and existence.""
""""
""Which is why mustering the courage to rise again from a slip, fixing up without remaining in the prison of yesterday failure is although underrated, a laudable victory in itself and one that set you on the path to success.""
""""
""History is littered with how people have climbed the ladder of failure to earn their names in gold letters.""
""""
""We too can!""
""""
""#FailingForward",,,MEMBER_NETWORK
2018-11-08 23:21:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6466439280041422848,"I want and no, I don’t want!",,,MEMBER_NETWORK
2018-11-06 08:19:29,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6465487609257877504,"Just imagine it, then doing it comes easy",,,MEMBER_NETWORK
2018-10-29 23:22:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6462815849525837824,,,,MEMBER_NETWORK
2018-09-16 16:35:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6447130692680720384,,,,MEMBER_NETWORK
2018-09-13 17:50:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6446062280047239168,A random act of kindness,,,MEMBER_NETWORK
2018-09-13 17:44:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6446060925639364608,,,,MEMBER_NETWORK
2018-09-03 08:51:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6442302770602217472,,,,MEMBER_NETWORK
