,Name
1,Strategic Human Resource Planning
2,Data Analytics
3,HR Policies
4,Microsoft Excel
5,HR Analytics
6,Employment Law
7,Big Data
8,Talent Management
9,Database Administration
10,Power BI
11,Talent Pipelining
12,E-Recruitment
13,Python
14,SQL
15,SPSS
16,Inductive Reasoning
17,Qualitative & Quantitative Research Methodologies
18,Team Motivation
19,Microsoft Word
20,Research
21,FMCG
22,Talent Management
23,HR Consulting
24,Organizational Development
25,Personnel Management
26,Performance Management
27,Recruiting
28,Training
29,Human Resources
30,Change Management
31,Employee Relations
32,Employee Engagement
33,Business Strategy
34,Analytic Problem Solving
35,Strategy
36,Strategic Planning
37,Organizational Design
38,Small Business Management
39,Human Resources (HR)
40,Predictive Analytics
41,Data Mining
42,Data Modeling
43,Statistics
44,LinkedIn Recruiter
45,Web Analytics
46,High Potential Identification
47,Staff Retention
